,TyramineNMPC
1469.V2,130.755544101517
1494.V2,181.35554008874
1512.V2,6.08640738441647
1515.V2,5.66785462268047
1517.V2,50.4304403987937
1526.V2,8.60239753228655
1532.V2,7.65099614187932
1540.V2,3.93597805152308
1546.V2,58.4493368249257
1550.V2,142.767493020158
1567.V2,128.881537328728
1577.V2,1.12424310209519
1594.V2,0.835811067003192
1601.V2,123.845866880282
1627.V2,180.970313170149
1638.V2,5.36340700547646
1653.V2,158.926828179669
1656.V2,9.90568023893331
1665.V2,11.2189681831837
1669.V2,300.079531333667
1696.V2,1.42390952105427
1727.V2,5.52192170709077
1742.V2,99.7762813322975
1750.V2,11.7118715302767
1753.V2,2.138145788712
1754.V2,28.6274128460157
1811.V2,148.050878436757
